Title,Details,Image,Link
Patents Granted by Country<br/>(embedded in a website),"Parallel Coordinates chart showing the number of patents granted per year, ranked by country between 2005 and 2023. Data is from Google Public Patent Data. Interactive is embedded in a website.",embedded.png,https://bcfarley.github.io/Embed/
Time Zone Reference,"Quiclky view the current times in 8 cities plus your local timezone to help coordinate global meetings or family catchups.",timezones.png,https://observablehq.com/@bcfarley/time-zones
Transition Experiment<br/>(D3 and Flubber),"Experimenting with transitions between polygons on a heatmap, circles on a bubble map and rectangles on a bar chart to maintain context while switching chart.",transitions.png,https://observablehq.com/@bcfarley/patents-granted
London TFL Cycle Hire Density<br/>(Observable Plot),"Density map of cycle hire locations in London using Observable Plot. Data from TFL. ",tflcycle.png,https://observablehq.com/@bcfarley/london-tfl-cycle-hire-density
Radial Bar Chart<br/>(D3),"Cities with a population of 3+ million. My first quick d3js example in 2017.",radial.png,https://bcfarley.github.io/RadialBars/Radial.html
Patents Granted by Country<br/>(ObservableHQ),"Parallel Coordinates chart showing the number of patents granted per year, ranked by country between 2005 and 2023. Data is from Google Public Patent Data. This version shows the workings.",parallel.png,https://observablehq.com/@bcfarley/patents-parallel-coordinates
Time Zone Data Prep,"Preparing the data for the Time Zone Reference app using JavaScript.",timezoneprep.png,https://observablehq.com/@bcfarley/time-zone-data-prep
Button Module<br/>(for ObservableHQ),"Start of a toolkit to be used by other notebooks. Future enhancements will include search, dropdown, hierarchy, multiple select and a value spark bar.",buttons.png,https://observablehq.com/@bcfarley/buttonsbcf
Google Patents Public Data<br/>(Python / Jupyter),"Simple Python script for fetching data from Google Patents Public Data using BigQuery.",patentpython.png,https://colab.research.google.com/drive/11Ye-q2Mg1lWuGdonVQ6yG6no_R2HtcQR
Qlik Sense Tab Navigation Extension<br/>(GitHub),"Extension for an early Qlik Sense releases.",qstab.png,https://github.com/bcfarley/Qlik-Sense-Tab-Buttons